,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,0.0007994651794433593,0.0003997328883491574,0.00019979476928710938,0.00039958953857421875,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.026352313834736508,18
10,0.0003998279571533203,0.0004896872457665585,0.0005994796752929688,0.0004894732058599682,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.026352313834736508,18
11,0.000799560546875,0.0003997802734375,0.00019974708557128905,0.0003994941711425781,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.026352313834736508,18
7,0.00039973258972167967,0.0004895704914386467,0.0003996849060058594,0.0004895120620278284,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9583333333333334,0.026352313834736508,18
16,0.00059967041015625,0.0004896288627950879,0.0005996227264404297,0.000489590053050404,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.9583333333333334,0.9583333333333334,0.8333333333333334,0.9166666666666666,0.9583333333333334,0.925,0.04859126579037751,26
22,0.0,0.0,0.003125,0.00625,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9583333333333334,0.9583333333333334,0.8333333333333334,0.9166666666666666,0.9583333333333334,0.925,0.04859126579037751,26
12,0.0009993553161621095,4.156969970265077e-07,0.0009993553161621095,4.672030911985737e-07,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
35,0.0031249523162841797,0.006249904632568359,0.0,0.0,10,4,sigmoid,0.0001,"{'C': 10, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
18,0.0010068416595458984,1.4424619592838546e-05,0.0005995750427246094,0.0004895509801351309,10,,rbf,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.9583333333333334,0.9166666666666666,0.875,0.875,0.9166666666666666,0.9083333333333334,0.03118047822311619,28
33,0.009374380111694336,0.018748760223388672,0.0,0.0,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9166666666666666,0.9166666666666666,0.7916666666666666,0.9583333333333334,0.9583333333333334,0.9083333333333334,0.06123724356957948,28
