,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
19,0,80,0.0017488598823547363,0.0004330846541696529,0.00024962425231933594,0.000432361887818483,10,,linear,0.0001,"{'C': 10, 'gamma': 0.0001, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
17,0,80,0.001498401165008545,0.0004994278378637018,0.0004998445510864258,0.0004998448069612961,10,,linear,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
15,0,80,0.0014996528625488281,0.0004999647836306338,0.0002498626708984375,0.00043277484091095526,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
0,0,80,0.0017490386962890625,0.0004326375949935384,0.0006425976753234863,0.000410208861161039,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
4,0,80,0.0017480850219726562,0.0004334632709155084,0.0002498626708984375,0.00043277484091095526,10,4,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
6,0,80,0.0,0.0,0.0,0.0,100,3,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
9,0,80,0.0039058923721313477,0.006765204037427219,0.0,0.0,1000,3,linear,,"{'C': 1000, 'degree': 3, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
5,0,80,0.001578986644744873,0.0009210220398306893,8.052587509155273e-05,0.00013947490698251446,10,5,linear,,"{'C': 10, 'degree': 5, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
7,0,80,0.003906428813934326,0.006766133181885281,0.0,0.0,100,4,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
3,0,80,0.001498878002166748,0.0004995466487644506,0.0007496476173400879,0.00043280978995683273,10,3,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.85,0.8947368421052632,0.9473684210526315,1.0,0.9230263157894737,0.05623749476260936,7,1.0,1.0,1.0,1.0,1.0,0.0
